lang,,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv,
"132",0,1.2e-322,2284,1.2e-322,813,0.5,-1,0.5,-1,0.003908611,-1,0.951419984,-1,0.5,-1,1.33E-290,5024,1.02E-258,5035,1.96E-94,14513,0.5,-1,7.05E-212,6425,0.5,-1
"132",0,1.2e-322,2231,1.2e-322,831,0.5,-1,0.5,-1,0.003640593,-1,0.943017149,-1,0.5,-1,3.66E-289,5169,1.87E-259,5149,2.60E-94,14551,0.5,-1,7.62E-212,6373,0.5,-1
"132",0,1.2e-322,2071,1.2e-322,725,0.5,-1,0.5,-1,0.003480319,-1,0.948119643,-1,0.5,-1,6.30E-293,4156,1.87E-259,5145,3.39E-94,14543,0.5,-1,6.97E-212,6372,0.5,-1
"132",0,1.2e-322,2393,1.2e-322,741,0.5,-1,0.5,-1,0.004019655,-1,0.932400643,-1,0.5,-1,2.35E-288,4961,5.92E-257,5309,3.34E-94,14569,0.5,-1,5.85E-212,6411,0.5,-1
"132",0,1.2e-322,2290,1.2e-322,783,0.5,-1,0.5,-1,0.003561335,-1,0.941341682,-1,0.5,-1,6.17E-293,4427,4.38E-256,5633,1.70E-94,14331,0.5,-1,6.40E-212,6386,0.5,-1
"132",0,1.2e-322,2347,1.2e-322,781,0.5,-1,0.5,-1,0.0040927,-1,0.934163597,-1,0.5,-1,1.70E-287,4362,6.54E-259,5634,2.57E-94,14578,0.5,-1,5.63E-212,6405,0.5,-1
"132",0,1.2e-322,2288,1.2e-322,756,0.5,-1,0.5,-1,0.003951864,-1,0.946168996,-1,0.5,-1,2.49E-292,4667,1.20E-258,5294,2.27E-94,14677,0.5,-1,6.70E-212,6393,0.5,-1
"132",0,1.2e-322,2184,1.2e-322,728,0.5,-1,0.5,-1,0.004281175,-1,0.951899993,-1,0.5,-1,1.70E-289,4437,1.04E-256,4869,2.24E-94,14622,0.5,-1,7.61E-212,6412,0.5,-1
"132",0,1.2e-322,2169,1.2e-322,794,0.5,-1,0.5,-1,0.003908611,-1,0.949274518,-1,0.5,-1,2.44E-291,4731,1.25E-256,5153,3.12E-94,14317,0.5,-1,7.10E-212,6389,0.5,-1
"132",0,1.2e-322,2352,1.2e-322,812,0.5,-1,0.5,-1,0.003452574,-1,0.943962638,-1,0.5,-1,2.03E-291,4317,3.23E-259,5646,5.36E-94,14525,0.5,-1,6.55E-212,6429,0.5,-1
"132",0,1.2e-322,2535,1.2e-322,859,0.5,-1,0.5,-1,0.004447075,-1,0.944342764,-1,0.5,-1,6.19E-288,4759,2.39E-254,5435,2.33E-94,14379,0.5,-1,6.61E-212,6436,0.5,-1
"132",0,1.2e-322,2257,1.2e-322,794,0.5,-1,0.5,-1,0.00354002,-1,0.948080439,-1,0.5,-1,9.07E-291,4190,1.59E-259,5218,2.29E-94,14491,0.5,-1,5.72E-212,6381,0.5,-1
"132",0,1.2e-322,2446,1.2e-322,765,0.5,-1,0.5,-1,0.004047905,-1,0.953241659,-1,0.5,-1,4.48E-290,5136,1.84E-255,5251,2.00E-94,14399,0.5,-1,8.22E-212,6400,0.5,-1
"132",0,1.2e-322,2159,1.2e-322,759,0.5,-1,0.5,-1,0.004088608,-1,0.941666756,-1,0.5,-1,5.15E-291,4575,1.06E-256,5004,1.90E-94,14547,0.5,-1,5.84E-212,6404,0.5,-1
"132",0,1.2e-322,2223,1.2e-322,801,0.5,-1,0.5,-1,0.003800634,-1,0.931995386,-1,0.5,-1,6.30E-292,5097,6.96E-257,5626,3.40E-94,14478,0.5,-1,6.72E-212,6446,0.5,-1
